team,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,xGoalsPercentage,corsiPercentage,fenwickPercentage,iceTime,xOnGoalFor,xGoalsFor,xReboundsFor,xFreezeFor,xPlayStoppedFor,xPlayContinuedInZoneFor,xPlayContinuedOutsideZoneFor,flurryAdjustedxGoalsFor,scoreVenueAdjustedxGoalsFor,flurryScoreVenueAdjustedxGoalsFor,shotsOnGoalFor,missedShotsFor,blockedShotAttemptsFor,shotAttemptsFor,goalsFor,reboundsFor,reboundGoalsFor,freezeFor,playStoppedFor,playContinuedInZoneFor,playContinuedOutsideZoneFor,savedShotsOnGoalFor,savedUnblockedShotAttemptsFor,penaltiesFor,penalityMinutesFor,faceOffsWonFor,hitsFor,takeawaysFor,giveawaysFor,lowDangerShotsFor,mediumDangerShotsFor,highDangerShotsFor,lowDangerxGoalsFor,mediumDangerxGoalsFor,highDangerxGoalsFor,lowDangerGoalsFor,mediumDangerGoalsFor,highDangerGoalsFor,scoreAdjustedShotsAttemptsFor,unblockedShotAttemptsFor,scoreAdjustedUnblockedShotAttemptsFor,dZoneGiveawaysFor,xGoalsFromxReboundsOfShotsFor,xGoalsFromActualReboundsOfShotsFor,reboundxGoalsFor,totalShotCreditFor,scoreAdjustedTotalShotCreditFor,scoreFlurryAdjustedTotalShotCreditFor,xOnGoalAgainst,xGoalsAgainst,xReboundsAgainst,xFreezeAgainst,xPlayStoppedAgainst,xPlayContinuedInZoneAgainst,xPlayContinuedOutsideZoneAgainst,flurryAdjustedxGoalsAgainst,scoreVenueAdjustedxGoalsAgainst,flurryScoreVenueAdjustedxGoalsAgainst,shotsOnGoalAgainst,missedShotsAgainst,blockedShotAttemptsAgainst,shotAttemptsAgainst,goalsAgainst,reboundsAgainst,reboundGoalsAgainst,freezeAgainst,playStoppedAgainst,playContinuedInZoneAgainst,playContinuedOutsideZoneAgainst,savedShotsOnGoalAgainst,savedUnblockedShotAttemptsAgainst,penaltiesAgainst,penalityMinutesAgainst,faceOffsWonAgainst,hitsAgainst,takeawaysAgainst,giveawaysAgainst,lowDangerShotsAgainst,mediumDangerShotsAgainst,highDangerShotsAgainst,lowDangerxGoalsAgainst,mediumDangerxGoalsAgainst,highDangerxGoalsAgainst,lowDangerGoalsAgainst,mediumDangerGoalsAgainst,highDangerGoalsAgainst,scoreAdjustedShotsAttemptsAgainst,unblockedShotAttemptsAgainst,scoreAdjustedUnblockedShotAttemptsAgainst,dZoneGiveawaysAgainst,xGoalsFromxReboundsOfShotsAgainst,xGoalsFromActualReboundsOfShotsAgainst,reboundxGoalsAgainst,totalShotCreditAgainst,scoreAdjustedTotalShotCreditAgainst,scoreFlurryAdjustedTotalShotCreditAgainst
SEA,2021,SEA,2021020043,SEA,NJD,AWAY,20211019,Team Level,5on5,0.4024,0.5,0.4706,2684,23.542,2.147,1.573,5.785,0.746,12.278,9.47,2.104,2.14,2.097,22,10,11,43,1,3,1,8,2,9,9,21,31,6,21,32,12,12,9,22,8,2,0.482,1.05,0.615,0,0,1,40.578,32,30.664,7,0.331,0.578,0.578,1.9,1.891,1.862,27.689,3.189,1.785,6.072,0.804,13.811,10.339,3.156,3.219,3.185,26,10,7,43,3,1,1,10,2,5,15,23,33,6,21,27,15,13,9,18,14,4,0.499,1.668,1.022,0,2,1,45.166,36,37.289,5,0.377,0.226,0.226,3.34,3.369,3.333
SEA,2021,SEA,2021020043,SEA,NJD,AWAY,20211019,Team Level,4on5,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.721,0.645,0.456,1.304,0.183,3.627,1.785,0.602,0.645,0.602,6,2,3,11,0,0,0,1,0,6,1,6,8,0,0,5,0,0,1,5,3,0,0.231,0.414,0,0,0,0,11,8,8,1,0.113,0,0,0.758,0.758,0.706
SEA,2021,SEA,2021020043,SEA,NJD,AWAY,20211019,Team Level,5on4,1,0.9231,1,384,5.664,0.1,0.52,1.837,0.238,3.516,1.789,0.099,0.1,0.099,6,2,4,12,0,1,0,1,1,4,1,6,8,0,0,3,0,0,1,8,0,0,0.1,0,0,0,0,0,12,8,8,0,0.145,0.015,0.015,0.23,0.23,0.228,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,4,5,1,2,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
SEA,2021,SEA,2021020078,SEA,VAN,HOME,20211023,Team Level,other,0.0612,0.75,0.75,112,2.006,0.053,0.145,0.407,0.057,1.6,0.738,0.052,0.053,0.052,0,3,0,3,0,0,0,0,0,2,1,0,3,0,0,2,0,0,0,3,0,0,0.053,0,0,0,0,0,3,3,3,0,0.036,0,0,0.089,0.089,0.088,0.735,0.813,0.02,0.011,0.01,0.078,0.069,0.813,0.813,0.813,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.813,0,0,1,1,1,1,0,0.005,0,0,0.818,0.818,0.818
SEA,2021,SEA,2021020078,SEA,VAN,HOME,20211023,Team Level,all,0.5245,0.5086,0.5426,3600,36.182,2.935,2.643,8.454,1.142,21.804,14.023,2.734,2.89,2.689,31,20,8,59,2,2,0,6,0,23,18,29,49,4,8,23,33,6,8,41,7,3,1.119,0.922,0.894,2,0,0,58.849,51,51.043,5,0.575,0.689,0.689,2.822,2.767,2.545,29.951,2.661,1.701,7.86,1.006,17.034,12.738,2.638,2.7,2.676,26,17,14,57,4,1,0,8,1,18,11,22,39,2,4,36,30,3,2,39,2,2,0.716,0.36,1.586,1,1,2,57.905,43,43.647,1,0.373,0.196,0.196,2.837,2.886,2.86
SEA,2021,SEA,2021020078,SEA,VAN,HOME,20211023,Team Level,5on5,0.69,0.5053,0.5467,2930,29.069,2.288,2.001,6.894,0.914,17.021,11.881,2.213,2.243,2.168,27,14,7,48,2,2,0,4,0,17,16,25,39,4,8,15,29,6,8,35,3,3,0.988,0.407,0.894,2,0,0,47.849,41,41.043,5,0.408,0.689,0.689,2.007,1.952,1.882,23.654,1.028,1.302,6.441,0.819,13.532,10.879,1.018,1.067,1.056,21,13,13,47,2,1,0,6,1,15,9,19,32,1,2,30,26,1,1,32,2,0,0.669,0.36,0,1,1,0,47.905,34,34.647,1,0.259,0.196,0.196,1.091,1.14,1.127
SEA,2021,SEA,2021020078,SEA,VAN,HOME,20211023,Team Level,4on5,0,0,0,348,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.562,0.82,0.379,1.409,0.178,3.424,1.791,0.808,0.82,0.808,4,4,1,9,1,0,0,2,0,3,2,3,7,1,2,5,3,0,1,7,0,1,0.047,0,0.773,0,0,1,9,8,8,0,0.109,0,0,0.928,0.928,0.915
SEA,2021,SEA,2021020078,SEA,VAN,HOME,20211023,Team Level,5on4,1,1,1,210,5.107,0.594,0.496,1.153,0.171,3.182,1.403,0.469,0.594,0.469,4,3,1,8,0,0,0,2,0,4,1,4,7,0,0,4,1,0,0,3,4,0,0.079,0.516,0,0,0,0,8,7,7,0,0.131,0,0,0.726,0.726,0.574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEA,2021,SEA,2021020096,SEA,MTL,HOME,20211026,Team Level,other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SEA,2021,SEA,2021020096,SEA,MTL,HOME,20211026,Team Level,all,0.6405,0.6044,0.5522,3600,25.081,2.375,1.934,6.025,0.904,15.591,10.171,2.366,2.398,2.39,26,11,18,55,5,1,0,6,0,7,18,21,32,2,4,30,32,12,6,28,6,3,1.023,0.713,0.638,1,1,3,57.21,37,37.917,3,0.424,0.077,0.077,2.722,2.749,2.741,21.137,1.333,1.425,4.846,0.707,12.459,9.23,1.302,1.33,1.298,24,6,6,36,1,1,1,4,1,12,11,23,29,4,8,20,40,2,0,27,2,1,0.842,0.236,0.255,0,0,1,34.084,30,29.034,0,0.3,0.255,0.255,1.379,1.359,1.348
